id,nimi
001,Akaa
002,Alajärvi
003,Alavieska
004,Alavus
005,Asikkala
006,Askola
007,Aura
008,Brändö
009,Eckerö
010,Enonkoski
011,Enontekiö
012,Espoo
013,Eura
014,Eurajoki
015,Evijärvi
016,Finström
017,Forssa
018,Föglö
019,Geta
020,Haapajärvi
021,Haapavesi
022,Hailuoto
023,Halsua
024,Hamina
025,Hammarland
026,Hankasalmi
027,Hanko
028,Harjavalta
029,Hartola
030,Hattula
031,Hausjärvi
032,Heinola
033,Heinävesi
034,Helsinki
035,Hirvensalmi
036,Hollola
037,Honkajoki
038,Huittinen
039,Humppila
040,Hyrynsalmi
041,Hyvinkää
042,Hämeenkyrö
043,Hämeenlinna
044,Ii
045,Iisalmi
046,Iitti
047,Ikaalinen
048,Ilmajoki
049,Ilomantsi
050,Imatra
051,Inari
052,Inkoo
053,Isojoki
054,Isokyrö
055,Janakkala
056,Joensuu
057,Jokioinen
058,Jomala
059,Joroinen
060,Joutsa
061,Juuka
062,Juupajoki
063,Juva
064,Jyväskylä
065,Jämijärvi
066,Jämsä
067,Järvenpää
068,Kaarina
069,Kaavi
070,Kajaani
071,Kalajoki
072,Kangasala
073,Kangasniemi
074,Kankaanpää
075,Kannonkoski
076,Kannus
077,Karijoki
078,Karkkila
079,Karstula
080,Karvia
081,Kaskinen
082,Kauhajoki
083,Kauhava
084,Kauniainen
085,Kaustinen
086,Keitele
087,Kemi
088,Kemijärvi
089,Keminmaa
090,Kemiönsaari
091,Kempele
092,Kerava
093,Keuruu
094,Kihniö
095,Kinnula
096,Kirkkonummi
097,Kitee
098,Kittilä
099,Kiuruvesi
100,Kivijärvi
101,Kokemäki
102,Kokkola
103,Kolari
104,Konnevesi
105,Kontiolahti
106,Korsnäs
107,Koski Tl
108,Kotka
109,Kouvola
110,Kristiinankaupunki
111,Kruunupyy
112,Kuhmo
113,Kuhmoinen
114,Kumlinge
115,Kuopio
116,Kuortane
117,Kurikka
118,Kustavi
119,Kuusamo
120,Kyyjärvi
121,Kärkölä
122,Kärsämäki
123,Kökar
124,Lahti
125,Laihia
126,Laitila
127,Lapinjärvi
128,Lapinlahti
129,Lappajärvi
130,Lappeenranta
131,Lapua
132,Laukaa
133,Lemi
134,Lemland
135,Lempäälä
136,Leppävirta
137,Lestijärvi
138,Lieksa
139,Lieto
140,Liminka
141,Liperi
142,Lohja
143,Loimaa
144,Loppi
145,Loviisa
146,Luhanka
147,Lumijoki
148,Lumparland
149,Luoto
150,Luumäki
151,Maalahti
152,Maarianhamina - Mariehamn
153,Marttila
154,Masku
155,Merijärvi
156,Merikarvia
157,Miehikkälä
158,Mikkeli
159,Muhos
160,Multia
161,Muonio
162,Mustasaari
163,Muurame
164,Mynämäki
165,Myrskylä
166,Mäntsälä
167,Mänttä-Vilppula
168,Mäntyharju
169,Naantali
170,Nakkila
171,Nivala
172,Nokia
173,Nousiainen
174,Nurmes
175,Nurmijärvi
176,Närpiö
177,Orimattila
178,Oripää
179,Orivesi
180,Oulainen
181,Oulu
182,Outokumpu
183,Padasjoki
184,Paimio
185,Paltamo
186,Parainen
187,Parikkala
188,Parkano
189,Pedersören kunta
190,Pelkosenniemi
191,Pello
192,Perho
193,Pertunmaa
194,Petäjävesi
195,Pieksämäki
196,Pielavesi
197,Pietarsaari
198,Pihtipudas
199,Pirkkala
200,Polvijärvi
201,Pomarkku
202,Pori
203,Pornainen
204,Porvoo
205,Posio
206,Pudasjärvi
207,Pukkila
208,Punkalaidun
209,Puolanka
210,Puumala
211,Pyhtää
212,Pyhäjoki
213,Pyhäjärvi
214,Pyhäntä
215,Pyhäranta
216,Pälkäne
217,Pöytyä
218,Raahe
219,Raasepori
220,Raisio
221,Rantasalmi
222,Ranua
223,Rauma
224,Rautalampi
225,Rautavaara
226,Rautjärvi
227,Reisjärvi
228,Riihimäki
229,Ristijärvi
230,Rovaniemi
231,Ruokolahti
232,Ruovesi
233,Rusko
234,Rääkkylä
235,Saarijärvi
236,Salla
237,Salo
238,Saltvik
239,Sastamala
240,Sauvo
241,Savitaipale
242,Savonlinna
243,Savukoski
244,Seinäjoki
245,Sievi
246,Siikainen
247,Siikajoki
248,Siikalatva
249,Siilinjärvi
250,Simo
251,Sipoo
252,Siuntio
253,Sodankylä
254,Soini
255,Somero
256,Sonkajärvi
257,Sotkamo
258,Sottunga
259,Sulkava
260,Sund
261,Suomussalmi
262,Suonenjoki
263,Sysmä
264,Säkylä
265,Taipalsaari
266,Taivalkoski
267,Taivassalo
268,Tammela
269,Tampere
270,Tervo
271,Tervola
272,Teuva
273,Tohmajärvi
274,Toholampi
275,Toivakka
276,Tornio
277,Turku
278,Tuusniemi
279,Tuusula
280,Tyrnävä
281,Ulvila
282,Urjala
283,Utajärvi
284,Utsjoki
285,Uurainen
286,Uusikaarlepyy
287,Uusikaupunki
288,Vaala
289,Vaasa
290,Valkeakoski
291,Valtimo
292,Vantaa
293,Varkaus
294,Vehmaa
295,Vesanto
296,Vesilahti
297,Veteli
298,Vieremä
299,Vihti
300,Viitasaari
301,Vimpeli
302,Virolahti
303,Virrat
304,Vårdö
305,Vöyri
306,Ylitornio
307,Ylivieska
308,Ylöjärvi
309,Ypäjä
310,Ähtäri
311,Äänekoski
312,Ahlainen
313,Aitolahti
314,Alahärmä
315,Alastaro
316,Alatornio
317,Alaveteli
318,Angelniemi
319,Anjala
320,Anjalankoski
321,Antrea
322,Anttola
323,Artjärvi
324,Askainen
325,Bergö
326,Björköby
327,Bromarv
328,Degerby
329,Dragsfjärd
330,Elimäki
331,Eno
332,Eräjärvi
333,Haaga
334,Haapasaari
335,Halikko
336,Harlu
337,Hauho
338,Haukipudas
339,Haukivuori
340,Heinjoki
341,Heinolan mlk
342,Hiitola
343,Hiittinen
344,Himanka
345,Hinnerjoki
346,Honkilahti
347,Houtskari
348,Huopalahti
349,Hyvinkään mlk
350,Hämeenlinnan mlk
351,Iisalmen mlk
352,Impilahti
353,Iniö
354,Jaakkima
355,Jaala
356,Jepua
357,Johannes
358,Joutseno
359,Jurva
360,Jyväskylän mlk
361,Jämsänkoski
362,Jäppilä
363,Jääski
364,Kaarlela
365,Kajaanin mlk
366,Kakskerta
367,Kalanti
368,Kalvola
369,Kangaslampi
370,Kanneljärvi
371,Karhula
372,Karinainen
373,Karjaa
374,Karjaan mlk
375,Karjala
376,Karjalohja
377,Karkku
378,Karttula
379,Karuna
380,Karunki
381,Kaukola
382,Kauvatsa
383,Keikyä
384,Kemijärven mlk
385,Kemiö
386,Kerimäki
387,Kestilä
388,Kesälahti
389,Kiihtelysvaara
390,Kiikala
391,Kiikka
392,Kiikoinen
393,Kiiminki
394,Kirvu
395,Kisko
396,Kiukainen
397,Kivennapa
398,Kodisjoki
399,Koijärvi
400,Koivisto
401,Koiviston mlk
402,Koivulahti
403,Konginkangas
404,Korpilahti
405,Korpiselkä
406,Korppoo
407,Kortesjärvi
408,Koskenpää
409,Kuhmalahti
410,Kuivaniemi
411,Kullaa
412,Kulosaaren huvilak.
413,Kuolemajärvi
414,Kuopion mlk
415,Kuorevesi
416,Kurkijoki
417,Kuru
418,Kuusankoski
419,Kuusisto
420,Kuusjoki
421,Kylmäkoski
422,Kymi
423,Kyyrölä
424,Käkisalmen mlk
425,Käkisalmi
426,Kälviä
427,Lahdenpohja
428,Lammi
429,Lappee
430,Lappi
431,Lapväärtti
432,Lauritsala
433,Lavansaari
434,Lavia
435,Lehtimäki
436,Leivonmäki
437,Lemu
438,Liljendal
439,Lohjan kunta
440,Lohtaja
441,Loimaan kunta
442,Lokalahti
443,Lumivaara
444,Luopioinen
445,Längelmäki
446,Maaninka
447,Maaria
448,Maksamaa
449,Mellilä
450,Merimasku
451,Messukylä
452,Metsämaa
453,Metsäpirtti
454,Mietoinen
455,Mikkelin mlk
456,Mouhijärvi
457,Munsala
458,Muolaa
459,Muurla
460,Muuruvesi
461,Mänttä
462,Naantalin mlk
463,Nauvo
464,Nilsiä
465,Noormarkku
466,Nuijamaa
467,Nummi-Pusula
468,Nurmeksen mlk
469,Nurmo
470,Oravainen
471,Oulujoki
472,Oulunkylä
473,Oulunsalo
474,Paattinen
475,Paavola
476,Paraisten mlk
477,Pattijoki
478,Pernaja
479,Perniö
480,Pertteli
481,Peräseinäjoki
482,Petolahti
483,Petsamo
484,Pieksämäen mlk
485,Pieksänmaa
486,Pielisensuu
487,Pielisjärvi
488,Pihlajavesi
489,Piikkiö
490,Piippola
491,Pirttikylä
492,Pohja
493,Pohjaslahti
494,Porin mlk
495,Porvoon mlk
496,Pulkkila
497,Punkaharju
498,Purmo
499,Pusula
500,Pyhäjärvi Ul
501,Pyhäjärvi Vi
502,Pyhämaa
503,Pyhäselkä
504,Pylkönmäki
505,Pälkjärvi
506,Raippaluoto
507,Rantsila
508,Rauman mlk
509,Rautio
510,Rautu
511,Renko
512,Revonlahti
513,Riistavesi
514,Ristiina
515,Rovaniemen mlk
516,Ruotsinpyhtää
517,Ruskeala
518,Ruukki
519,Rymättylä
520,Räisälä
521,Saari
522,Sahalahti
523,Sakkola
524,Salmi
525,Saloinen
526,Sammatti
527,Savonranta
528,Seinäjoen mlk
529,Seiskari
530,Siipyy
531,Simpele
532,Snappertuna
533,Soanlahti
534,Somerniemi
535,Sortavala
536,Sortavalan mlk
537,Suistamo
538,Sulva
539,Sumiainen
540,Suodenniemi
541,Suojärvi
542,Suolahti
543,Suomenniemi
544,Suomusjärvi
545,Suoniemi
546,Suursaari
547,Säkkijärvi
548,Särkisalo
549,Säyneinen
550,Säynätsalo
551,Sääksmäki
552,Sääminki
553,Tammisaaren mlk
554,Tammisaari
555,Tarvasjoki
556,Teerijärvi
557,Teisko
558,Temmes
559,Tenhola
560,Terijoki
561,Tiukka
562,Toijala
563,Tottijärvi
564,Tuulos
565,Tuupovaara
566,Tyrväntö
567,Tyrvää
568,Tytärsaari
569,Töysä
570,Ullava
571,Uskela
572,Uudenkaarlepyyn mlk
573,Uudenkaupungin mlk
574,Uukuniemi
575,Uusikirkko
576,Vahto
577,Vahviala
578,Valkeala
579,Valkjärvi
580,Vammala
581,Vampula
582,Vanaja
583,Varpaisjärvi
584,Vehkalahti
585,Vehmersalmi
586,Velkua
587,Vihanti
588,Viiala
589,Viipuri
590,Viipurin mlk
591,Viljakkala
592,Vilppula
593,Virtasalmi
594,Vuoksela
595,Vuoksenranta
596,Vuolijoki
597,Vähäkyrö
598,Värtsilä
599,Västanfjärd
600,Vöyri-Maksamaa
601,Ylihärmä
602,Yli-Ii
603,Ylikiiminki
604,Ylimarkku
605,Ylistaro
606,Ylämaa
607,Yläne
608,Äetsä
609,Ähtävä
610,Äyräpää
611,Äänekosken mlk
612,Öja
613,Luvia
614,Juankoski
615,Jalasjärvi
616,Hämeenkoski
617,Köyliö
618,Nastola
619,Sippula
620,Turtola
621,Pyhäjärvi UI
622,Seitskaarto
623,Kovero
624,Kuusjärvi
625,Nummi
626,Kariniemi
627,Lokala
628,Vehkajärvi
629,NA
630,Björkö
631,Jeppo
632,Jormasjärvi
633,Revolahti
634,Säkjärvi
635,Sakkula
636,Valamo
637,Kemin mlk
638,Ikaalisten mlk
639,Sippola
640,Porneesi
641,Lapträski
642,Ruotsin-Pyhtää
643,Kuhmoniemi
644,Kuolajärvi
645,Muonionniska
646,Enontekiäinen
647,Kokkolan mlk
648,Kaustisenkylä
649,Ätsäri
650,Normarkku
651,Koski Hl
652,Muurila
653,Euran kappeli
654,Prunkkala
655,Korpoo
656,Pyhämaan luoto
657,Maarianhamina
658,Muola
659,Kiteen pitäjä
660,Euran pitäjä
661,Poomarkku
662,Övermarkku
663,Tervajärvi
664,Salon kappeli
665,Finby
666,Johanneksen pitäjä
667,Kristiinankaupungin mlk
668,Räntämäki
669,Uusikaarlebyy
670,Uudenkaarlebyyn mlk
671,Säräisniemi
672,Oulun mlk
673,Salon pitäjä
674,Nikolainkaupunki
675,Helsingin pitäjä
676,Kruunubyy
677,Mantsinsaari
678,Rutakko
679,Mustion ruukins.
680,Karja
681,Pietarsaaren mlk
682,Lapvesi
683,Oulun pitäjä
684,Hongonjoki
685,Kuusluoto
686,Vestanfjärd
687,Loimaan mlk
688,Grankulla
689,Lohjan mlk
690,Kaarela
691,Yli-ii
692,Brändön huvilakaupunki
693,Etelä-Pirkkala
694,1
695,Pohjois-Pirkkala
696,Helsingin mlk
697,Uusikirkko Tl
698,Uusikirkko Vl
