Vuosi	Kaupungit	Kauppaloita	Muita kuntia	Yhteensä
2019	107	0	204	311
2018	107	0	204	311
2017	106	0	205	311
2016	107	0	206	313
2015	107	0	210	317
2014	107	0	213	320
2013	107	0	213	320
2012	108	0	228	336
2011	108	0	228	336
2010	108	0	234	342
2009	108	0	240	348
2008	113	0	302	415
2007	113	0	303	416
2006	114	0	317	431
2005	114	0	318	432
2004	113	0	331	444
2003	111	0	335	446
2002	111	0	337	448
2001	109	0	339	448
2000	109	0	343	452
1999	107	0	345	452
1998	107	0	345	452
1997	105	0	347	452
1996	104	0	351	455
1995	102	0	353	455
1994	102	0	353	455
1993	102	0	353	455
1992	97	0	363	460
1991	94	0	366	460
1990	94	0	366	460
1989	94	0	366	460
1988	94	0	367	461
1987	94	0	367	461
1986	94	0	367	461
1985	84	0	377	461
1984	84	0	377	461
1983	84	0	377	461
1982				461
1981	84	0	377	461
1980	84	0	380	464
1979	84	0	380	464
1978	84	0	380	464
1977	84	0	380	464
1976	63	22	390	475
1975	63	22	392	477
1974	63	21	397	481
1973	60	22	401	483
1972	55	27	430	512
1971	52	26	437	515
1970	50	28	440	518
1969	49	29	443	521
1968	47	30	459	536
1967	47	28	462	537
1966	46	26	473	545
1965	46	24	476	546
1964	45	24	478	547
1963	44	24	480	548
1962	43	24	481	548
1961				548
1960	41	26	481	548
1959	35	32	481	548
1958				549
1957	35	32	482	549
1956				548
1955				548
1954				548
1953				549
1952				549
1951				549
1950				547
1949				547
1948				547
1947	35	25	487	547
1946				548
1945				558
1944				603
1943				603
1942				603
1941				602
1940				602
1939				602
1938				602
1937	38	27	537	602
1936				602
1935				601
1934				601
1933				601
1932				601
1931				594
1930				592
1929				589
1928				587
1927	38	16	531	585
1926				581
1925				577
1924				571
1923				567
1922				561
1921				550
1920				542
1917	38	4	490	532
1915				528
1910				519
1905				513
1900				510
