Lakkautuskunta,Nimike,Ajankohta,Liitoskunta,Nimike_1
001,Ahlainen,1.1.1972,609,Pori
002,Aitolahti,1.1.1966,837,Tampere
003,Akaa,1.1.1946,020,Akaa
004,Alahärmä,1.1.2009,233,Kauhava
006,Alastaro,1.1.2009,430,Loimaa
007,Alatornio,1.1.1973,851,Tornio
008,Alaveteli,1.1.1969,288,Kruunupyy
011,Angelniemi,1.1.1967,734,Salo
012,Anjala,1.1.1975,286,Kouvola
754,Anjalankoski,1.1.2009,286,Kouvola
013,Antrea,19.9.1944,NA,Luovutetulla alueella
014,Anttola,1.1.2001,491,Mikkeli
015,Artjärvi,1.1.2011,560,Orimattila
017,Askainen,1.1.2009,481,Masku
032,Bergö,1.1.1973,475,Maalahti
033,Björköby,1.1.1973,499,Mustasaari
034,Bromarv,1.1.1977,710,Raasepori
039,Degerby,1.1.1946,149,Inkoo
040,Dragsfjärd,1.1.2009,322,Kemiönsaari
044,Elimäki,1.1.2009,286,Kouvola
045,Eno,1.1.2009,167,Joensuu
048,Eräjärvi,1.1.1973,562,Orivesi
068,Haaga,1.1.1946,091,Helsinki
070,Haapasaari,1.1.1974,285,Kotka
073,Halikko,1.1.2009,734,Salo
080,Harlu,19.9.1944,NA,Luovutetulla alueella
083,Hauho,1.1.2009,109,Hämeenlinna
084,Haukipudas,1.1.2013,564,Oulu
085,Haukivuori,1.1.2007,491,Mikkeli
087,Heinjoki,19.9.1944,NA,Luovutetulla alueella
088,Heinola,1.1.1997,111,Heinola
089,Heinolan mlk,1.1.1997,111,Heinola
093,Hiitola,19.9.1944,NA,Luovutetulla alueella
094,Hiittinen,1.1.1969,322,Kemiönsaari
095,Himanka,1.1.2010,208,Kalajoki
096,Hinnerjoki,1.1.1970,050,Eura
100,Honkilahti,1.1.1970,050,Eura
101,Houtskari,1.1.2009,445,Parainen
104,Huopalahti,1.1.1946,091,Helsinki
107,Hyvinkään mlk,1.1.1969,106,Hyvinkää
110,Hämeenlinnan mlk,1.1.1948,109,Hämeenlinna
141,Iisalmen mlk,1.1.1970,140,Iisalmi
144,Ikaalinen,1.1.1972,143,Ikaalinen
147,Impilahti,19.9.1944,NA,Luovutetulla alueella
150,Iniö,1.1.2009,445,Parainen
162,Jaakkima,19.9.1944,NA,Luovutetulla alueella
163,Jaala,1.1.2009,286,Kouvola
166,Jepua,1.1.1975,893,Uusikaarlepyy
168,Johannes,19.9.1944,NA,Luovutetulla alueella
173,Joutseno,1.1.2009,405,Lappeenranta
175,Jurva,1.1.2009,301,Kurikka
180,Jyväskylän mlk,1.1.2009,179,Jyväskylä
183,Jämsänkoski,1.1.2009,182,Jämsä
184,Jäppilä,1.1.2004,593,Pieksämäki
185,Jääski,1.1.1948,405,Lappeenranta
203,Kaarlela,1.1.1977,272,Kokkola
206,Kajaanin mlk,1.1.1977,205,Kajaani
207,Kakskerta,1.1.1968,853,Turku
209,Kalanti,1.1.1993,895,Uusikaupunki
210,Kalvola,1.1.2009,109,Hämeenlinna
212,Kangaslampi,1.1.2005,915,Varkaus
215,Kanneljärvi,19.9.1944,NA,Luovutetulla alueella
201,Karhula,1.1.1977,285,Kotka
219,Karinainen,1.1.2005,636,Pöytyä
220,Karjaa,1.1.2009,710,Raasepori
221,Karjaan mlk,1.1.1969,710,Raasepori
222,Karjala,1.1.1977,503,Mynämäki
223,Karjalohja,1.1.2013,444,Lohja
225,Karkku,1.1.1973,790,Sastamala
227,Karttula,1.1.2011,297,Kuopio
228,Karuna,1.1.1969,738,Sauvo
229,Karunki,1.1.1973,851,Tornio
234,Kaukola,19.9.1944,NA,Luovutetulla alueella
237,Kauvatsa,1.1.1969,271,Kokemäki
238,Keikyä,1.1.1981,790,Sastamala
242,Kemijärven mlk,1.1.1973,320,Kemijärvi
243,Kemiö,1.1.2009,322,Kemiönsaari
246,Kerimäki,1.1.2013,740,Savonlinna
247,Kestilä,1.1.2009,791,Siikalatva
248,Kesälahti,1.1.2013,260,Kitee
251,Kiihtelysvaara,1.1.2005,167,Joensuu
252,Kiikala,1.1.2009,734,Salo
253,Kiikka,1.1.1981,790,Sastamala
254,Kiikoinen,1.1.2013,790,Sastamala
255,Kiiminki,1.1.2013,564,Oulu
258,Kirvu,19.9.1944,NA,Luovutetulla alueella
259,Kisko,1.1.2009,734,Salo
262,Kiukainen,1.1.2009,050,Eura
264,Kivennapa,19.9.1944,NA,Luovutetulla alueella
266,Kodisjoki,1.1.2007,684,Rauma
267,Koijärvi,1.1.1969,061,Forssa
268,Koivisto,19.9.1944,NA,Luovutetulla alueella
269,Koiviston mlk,19.9.1944,NA,Luovutetulla alueella
270,Koivulahti,1.1.1973,499,Mustasaari
274,Konginkangas,1.1.1993,992,Äänekoski
277,Korpilahti,1.1.2009,179,Jyväskylä
278,Korpiselkä,1.1.1946,167,Joensuu
279,Korppoo,1.1.2009,445,Parainen
281,Kortesjärvi,1.1.2009,233,Kauhava
282,Koskenpää,1.1.1969,182,Jämsä
289,Kuhmalahti,1.1.2011,211,Kangasala
292,Kuivaniemi,1.1.2007,139,Ii
293,Kullaa,1.1.2005,886,Ulvila
294,Kulosaaren huvilak.,1.1.1946,091,Helsinki
296,Kuolemajärvi,19.9.1944,NA,Luovutetulla alueella
298,Kuopion mlk,1.1.1969,297,Kuopio
299,Kuorevesi,1.1.2001,182,Jämsä
302,Kurkijoki,19.9.1944,NA,Luovutetulla alueella
303,Kuru,1.1.2009,980,Ylöjärvi
306,Kuusankoski,1.1.2009,286,Kouvola
307,Kuusisto,1.1.1946,202,Kaarina
308,Kuusjoki,1.1.2009,734,Salo
310,Kylmäkoski,1.1.2011,020,Akaa
311,Kymi,1.1.1977,285,Kotka
321,Kyyrölä,1.1.1934,NA,Luovutetulla alueella
314,Käkisalmen mlk,19.9.1944,NA,Luovutetulla alueella
313,Käkisalmi,19.9.1944,NA,Luovutetulla alueella
315,Kälviä,1.1.2009,272,Kokkola
397,Lahdenpohja,19.9.1944,NA,Luovutetulla alueella
401,Lammi,1.1.2009,109,Hämeenlinna
404,Lappee,1.1.1967,405,Lappeenranta
406,Lappi,1.1.2009,684,Rauma
409,Lapväärtti,1.1.1973,287,Kristiinankaupunki
411,Lauritsala,1.1.1967,405,Lappeenranta
412,Lavansaari,19.9.1944,NA,Luovutetulla alueella
413,Lavia,26.11.2014,609,Pori
414,Lehtimäki,1.1.2009,005,Alajärvi
415,Leivonmäki,1.1.2008,172,Joutsa
419,Lemu,1.1.2009,481,Masku
424,Liljendal,1.1.2010,434,Loviisa
427,Lohja,1.1.1997,444,Lohja
428,Lohjan kunta,1.1.1997,444,Lohja
429,Lohtaja,1.1.2009,272,Kokkola
431,Loimaan kunta,1.1.2005,430,Loimaa
432,Lokalahti,1.1.1981,895,Uusikaupunki
437,Lumivaara,19.9.1944,NA,Luovutetulla alueella
439,Luopioinen,1.1.2007,635,Pälkäne
443,Längelmäki,1.1.2007,182,Jämsä
476,Maaninka,26.11.2014,297,Kuopio
477,Maaria,1.1.1967,853,Turku
479,Maksamaa,1.1.2007,946,Vöyri
482,Mellilä,1.1.2009,430,Loimaa
485,Merimasku,1.1.2009,529,Naantali
486,Messukylä,1.1.1947,837,Tampere
487,Metsämaa,1.1.1976,430,Loimaa
488,Metsäpirtti,19.9.1944,NA,Luovutetulla alueella
490,Mietoinen,1.1.2007,503,Mynämäki
492,Mikkelin mlk,1.1.2001,491,Mikkeli
493,Mouhijärvi,1.1.2009,790,Sastamala
496,Munsala,1.1.1975,893,Uusikaarlepyy
497,Muolaa,19.9.1944,NA,Luovutetulla alueella
501,Muurla,1.1.2009,734,Salo
502,Muuruvesi,1.1.1971,174,Juankoski
506,Mänttä,1.1.2009,508,Mänttä-Vilppula
530,Naantalin mlk,1.1.1964,529,Naantali
533,Nauvo,1.1.2009,445,Parainen
534,Nilsiä,1.1.2013,297,Kuopio
537,Noormarkku,1.1.2010,609,Pori
539,Nuijamaa,1.1.1989,405,Lappeenranta
